Date,Description,Amount
2025-05-01,Salary Credit - ABC Company,245000.00
2025-05-02,KEELLS SUPERMARKET COLOMBO,8450.75
2025-05-03,DIALOG AXIATA PLC,1250.00
2025-05-04,UBER TRIP COLOMBO,1850.00
2025-05-05,Perera & Sons Bakery,1250.00
2025-05-06,CEB Bill Payment,8750.00
2025-05-07,ASIRI HOSPITAL,4250.00
2025-05-08,Fixed Deposit Interest,12500.00
2025-05-09,Arpico Supermarket,6720.50
2025-05-10,PICKME RIDE,980.00
2025-05-12,Salary Credit - ABC Company,245000.00
2025-05-13,LANKA IOC PETROL,6500.00
2025-05-15,RENT PAYMENT - MR PERERA,45000.00
2025-05-18,CINEMAX CINEMA,2450.00
2025-05-20,UNIT TRUST INVESTMENT,50000.00
2025-05-22,KEELLS SUPERMARKET,12480.00
2025-05-25,MOBITEL BILL,1890.00
2025-05-28,RESTAURANT - THE KINGS BURY,8950.00
